"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 12, 2007","15,740.90","15,868.50","15,874.60","15,699.10","177.32M","-1.71%"
"Dec 11, 2007","16,015.50","15,864.90","16,022.40","15,864.90","208.65M","1.25%"
"Dec 10, 2007","15,817.40","15,820.20","15,897.40","15,784.20","104.25M","0.25%"
"Dec 07, 2007","15,777.50","15,759.70","15,812.10","15,728.20","130.25M","0.63%"
"Dec 06, 2007","15,678.10","15,640.90","15,767.90","15,640.90","143.53M","1.35%"
"Dec 05, 2007","15,469.50","15,487.00","15,564.00","15,452.80","159.69M","-0.47%"
"Dec 04, 2007","15,541.80","15,522.10","15,603.90","15,453.30","137.79M","-0.66%"
"Dec 03, 2007","15,645.20","15,612.60","15,718.10","15,538.70","113.22M","0.23%"
"Nov 30, 2007","15,609.30","15,375.70","15,689.20","15,330.20","346.94M","2.36%"
"Nov 29, 2007","15,249.60","15,141.50","15,321.00","15,139.30","138.73M","1.87%"
"Nov 28, 2007","14,969.50","15,205.70","15,214.10","14,935.80","133.97M","-1.86%"
"Nov 27, 2007","15,253.80","15,153.70","15,304.70","15,062.80","115.61M","-0.73%"
"Nov 26, 2007","15,365.50","14,946.40","15,414.90","14,946.40","137.88M","4.43%"
"Nov 23, 2007","14,714.00","14,757.30","14,768.90","14,651.20","83.21M","-0.29%"
"Nov 22, 2007","14,756.30","14,795.90","14,808.20","14,657.80","152.25M","-1.48%"
"Nov 21, 2007","14,977.90","14,978.30","15,113.80","14,931.80","142.37M","0.59%"
"Nov 20, 2007","14,889.80","15,068.50","15,072.40","14,807.00","159.81M","-3.08%"
"Nov 19, 2007","15,363.00","15,252.20","15,466.30","15,252.20","103.65M","1.56%"
"Nov 16, 2007","15,126.30","15,362.80","15,375.00","15,095.80","128.80M","-1.24%"
"Nov 15, 2007","15,315.80","15,363.10","15,563.60","15,315.80","173.69M","-0.66%"
"Nov 14, 2007","15,417.10","15,334.40","15,462.80","15,320.60","142.94M","1.08%"
"Nov 13, 2007","15,251.70","15,203.90","15,272.10","15,023.00","162.00M","-0.15%"
"Nov 12, 2007","15,274.70","15,354.40","15,645.80","15,244.10","155.40M","-1.16%"
"Nov 09, 2007","15,454.10","15,135.90","15,766.10","15,135.90","174.00M","1.61%"
"Nov 08, 2007","15,209.90","15,351.20","15,353.90","15,119.80","147.90M","-2.65%"
"Nov 07, 2007","15,623.40","15,327.90","15,675.00","15,327.90","134.02M","1.98%"
"Nov 06, 2007","15,320.80","15,217.20","15,390.00","15,216.00","92.02M","0.43%"
"Nov 05, 2007","15,254.70","15,650.60","15,696.60","15,190.50","132.34M","-2.30%"
"Nov 02, 2007","15,613.30","15,866.30","15,866.30","15,569.90","124.99M","-3.31%"
"Nov 01, 2007","16,148.30","16,017.10","16,201.90","16,004.50","146.69M","1.91%"
"Oct 31, 2007","15,845.20","15,803.40","15,932.80","15,752.40","203.21M","-0.84%"
"Oct 30, 2007","15,980.20","16,149.90","16,149.90","15,964.30","158.30M","-0.89%"
"Oct 29, 2007","16,123.10","15,816.00","16,134.20","15,815.40","187.72M","3.30%"
"Oct 26, 2007","15,608.10","15,429.80","15,621.20","15,402.10","196.18M","2.11%"
"Oct 25, 2007","15,284.90","15,367.10","15,482.10","15,252.70","172.31M","-1.25%"
"Oct 24, 2007","15,478.20","15,733.10","15,857.10","15,478.20","156.65M","-0.81%"
"Oct 23, 2007","15,605.00","15,380.40","15,605.00","15,380.40","136.11M","0.90%"
"Oct 22, 2007","15,465.80","15,674.10","15,676.10","15,392.70","149.91M","-2.91%"
"Oct 19, 2007","15,928.80","16,089.50","16,102.70","15,856.20","126.39M","-1.14%"
"Oct 18, 2007","16,112.20","15,829.90","16,112.20","15,821.70","160.36M","2.39%"
"Oct 17, 2007","15,735.60","15,879.10","15,977.40","15,657.40","152.64M","-0.83%"
"Oct 16, 2007","15,867.60","15,823.20","15,919.00","15,735.30","144.06M","-0.21%"
"Oct 15, 2007","15,901.20","15,964.10","16,088.20","15,853.30","101.45M","0.35%"
"Oct 12, 2007","15,845.20","15,899.00","15,936.80","15,792.80","130.68M","-0.14%"
"Oct 11, 2007","15,867.70","15,719.10","15,923.70","15,677.20","142.90M","1.09%"
"Oct 10, 2007","15,697.10","15,579.00","15,718.30","15,579.00","121.86M","1.63%"
"Oct 09, 2007","15,444.90","15,385.90","15,487.90","15,283.00","119.15M","-0.66%"
"Oct 08, 2007","15,547.30","15,401.80","15,577.80","15,401.80","92.31M","1.48%"
"Oct 05, 2007","15,319.90","15,264.90","15,354.50","15,249.80","102.59M","0.65%"
"Oct 04, 2007","15,220.30","15,454.60","15,460.10","15,178.20","148.96M","-2.48%"
"Oct 03, 2007","15,606.60","15,636.40","15,698.00","15,562.20","136.74M","-1.35%"
"Oct 02, 2007","15,819.90","15,699.30","15,828.60","15,685.60","157.57M","2.34%"
"Oct 01, 2007","15,458.50","15,380.30","15,602.10","15,356.80","77.34M","0.41%"
"Sep 28, 2007","15,396.00","15,329.20","15,563.70","15,329.20","247.13M","0.94%"
"Sep 27, 2007","15,252.80","15,147.10","15,271.50","15,101.30","149.24M","0.78%"
"Sep 26, 2007","15,134.30","15,095.40","15,234.50","15,075.80","146.87M","-1.44%"
"Sep 25, 2007","15,354.80","15,171.40","15,492.20","15,122.80","176.18M","1.66%"
"Sep 24, 2007","15,104.10","14,689.30","15,112.10","14,680.10","148.71M","3.73%"
"Sep 21, 2007","14,560.30","14,536.60","14,598.70","14,516.80","146.64M","0.11%"
"Sep 20, 2007","14,543.90","14,542.40","14,617.40","14,471.90","283.84M","1.23%"
"Sep 19, 2007","14,367.60","14,011.10","14,367.60","14,011.10","190.25M","4.41%"
"Sep 18, 2007","13,760.60","13,781.30","13,841.40","13,690.50","156.61M","-0.57%"
"Sep 17, 2007","13,838.80","13,865.60","13,911.80","13,789.20","138.55M","-0.59%"
"Sep 14, 2007","13,920.90","13,707.40","13,920.90","13,707.40","147.02M","1.60%"
"Sep 13, 2007","13,701.50","13,714.90","13,777.90","13,686.00","99.11M","0.32%"
"Sep 12, 2007","13,657.80","13,794.40","13,908.10","13,657.80","165.30M","0.20%"
"Sep 11, 2007","13,630.20","13,597.80","13,659.90","13,561.40","153.30M","0.10%"
"Sep 10, 2007","13,616.60","13,699.40","13,720.80","13,518.70","143.95M","-2.49%"
"Sep 07, 2007","13,963.90","13,867.80","13,967.60","13,836.70","97.11M","1.81%"
"Sep 06, 2007","13,716.20","13,531.40","13,718.00","13,471.40","97.91M","0.74%"
"Sep 05, 2007","13,614.90","13,662.30","13,799.90","13,614.90","129.03M","-0.08%"
"Sep 04, 2007","13,625.30","13,586.10","13,700.20","13,580.00","107.89M","0.03%"
"Sep 03, 2007","13,620.70","13,586.80","13,674.80","13,577.50","90.13M","0.59%"
"Aug 31, 2007","13,540.80","13,418.00","13,569.40","13,303.90","208.05M","1.78%"
"Aug 30, 2007","13,303.90","13,271.00","13,380.10","13,262.60","154.37M","1.42%"
"Aug 29, 2007","13,117.20","13,124.60","13,124.60","12,930.90","247.69M","-1.36%"
"Aug 28, 2007","13,297.60","13,283.50","13,320.90","13,187.20","94.04M","-0.20%"
"Aug 27, 2007","13,324.40","13,174.50","13,360.10","13,155.50","140.07M","2.66%"
"Aug 24, 2007","12,978.80","13,156.20","13,156.20","12,957.50","154.40M","-2.33%"
"Aug 23, 2007","13,288.40","12,984.90","13,299.70","12,984.90","164.01M","5.03%"
"Aug 22, 2007","12,652.40","12,654.10","12,800.20","12,612.20","123.54M","-0.07%"
"Aug 21, 2007","12,661.80","12,494.20","12,690.50","12,372.20","113.01M","1.30%"
"Aug 20, 2007","12,499.40","12,002.00","12,499.40","11,999.50","154.66M","7.10%"
"Aug 17, 2007","11,671.30","11,982.60","12,061.30","11,612.70","181.06M","-2.17%"
"Aug 16, 2007","11,929.60","12,009.60","12,041.60","11,337.70","233.01M","-1.05%"
"Aug 15, 2007","12,056.10","12,477.50","12,477.50","12,032.90","186.60M","-4.73%"
"Aug 14, 2007","12,655.10","12,740.10","12,809.40","12,609.40","98.81M","-0.51%"
"Aug 13, 2007","12,719.50","12,623.80","12,831.30","12,621.20","111.22M","1.19%"
"Aug 10, 2007","12,569.90","12,957.50","12,977.50","12,569.90","192.80M","-5.04%"
"Aug 09, 2007","13,237.00","13,256.90","13,336.10","13,155.20","132.96M","0.38%"
"Aug 08, 2007","13,187.50","12,939.90","13,193.40","12,933.50","109.33M","2.40%"
"Aug 07, 2007","12,877.80","12,933.30","13,060.20","12,860.50","100.05M","0.09%"
"Aug 06, 2007","12,866.10","12,971.80","12,977.30","12,752.40","93.52M","-2.11%"
"Aug 03, 2007","13,142.90","13,111.50","13,216.30","12,998.80","105.67M","0.92%"
"Aug 02, 2007","13,023.60","13,073.20","13,237.50","12,781.90","134.94M","0.53%"
"Aug 01, 2007","12,955.20","13,422.30","13,435.30","12,940.60","170.39M","-3.50%"
"Jul 31, 2007","13,424.80","13,404.70","13,442.40","13,348.20","124.14M","0.79%"
"Jul 30, 2007","13,319.40","13,180.70","13,325.30","13,105.50","123.60M","1.13%"
"Jul 27, 2007","13,170.40","13,362.60","13,366.10","13,120.60","232.69M","-3.61%"
"Jul 26, 2007","13,664.10","13,964.40","13,964.40","13,664.10","161.12M","-2.14%"
"Jul 25, 2007","13,963.00","14,086.60","14,091.90","13,963.00","127.13M","-2.06%"
"Jul 24, 2007","14,257.10","14,186.70","14,278.00","14,186.70","136.32M","0.93%"
"Jul 23, 2007","14,125.80","14,065.90","14,142.80","13,995.10","136.13M","-0.07%"
"Jul 20, 2007","14,135.10","14,080.00","14,138.60","14,065.10","102.99M","1.27%"
"Jul 19, 2007","13,958.40","13,875.40","13,976.10","13,859.50","112.67M","0.75%"
"Jul 18, 2007","13,854.90","14,026.70","14,032.50","13,852.10","124.19M","-1.77%"
"Jul 17, 2007","14,104.90","14,127.50","14,129.80","14,031.10","101.07M","0.08%"
"Jul 16, 2007","14,093.10","14,313.30","14,313.30","14,065.00","116.97M","-1.37%"
"Jul 13, 2007","14,289.10","14,386.40","14,427.10","14,289.10","146.91M","0.72%"
"Jul 12, 2007","14,186.40","14,017.20","14,186.40","14,017.20","125.23M","1.88%"
"Jul 11, 2007","13,925.00","14,106.70","14,106.70","13,834.10","105.74M","-1.29%"
"Jul 10, 2007","14,106.50","14,195.10","14,202.60","14,065.80","110.93M","-0.59%"
"Jul 09, 2007","14,190.80","13,962.80","14,190.80","13,959.80","105.07M","2.41%"
"Jul 06, 2007","13,856.60","13,837.40","13,876.30","13,778.30","106.79M","0.24%"
"Jul 05, 2007","13,823.80","13,590.90","13,838.60","13,590.90","125.01M","1.80%"
"Jul 04, 2007","13,578.90","13,534.20","13,578.90","13,519.60","106.03M","0.74%"
"Jul 03, 2007","13,479.20","13,381.90","13,488.30","13,366.90","98.84M","1.73%"
"Jul 02, 2007","13,249.90","13,303.00","13,319.70","13,213.10","95.81M","-0.08%"
"Jun 29, 2007","13,260.00","13,239.30","13,309.00","13,202.20","268.98M","0.47%"
"Jun 28, 2007","13,198.20","13,047.50","13,198.20","13,047.50","109.00M","1.68%"
"Jun 27, 2007","12,980.00","13,202.60","13,214.00","12,980.00","129.90M","-2.10%"
"Jun 26, 2007","13,258.20","13,284.60","13,323.40","13,257.00","96.47M","-0.20%"
"Jun 25, 2007","13,284.90","13,321.70","13,357.20","13,261.10","98.68M","-0.86%"
"Jun 22, 2007","13,400.00","13,425.30","13,432.60","13,335.30","127.00M","0.31%"
"Jun 21, 2007","13,358.40","13,292.30","13,358.40","13,234.20","207.05M","0.50%"
"Jun 20, 2007","13,292.20","13,338.30","13,340.00","13,246.50","118.55M","-0.54%"
"Jun 19, 2007","13,364.60","13,278.80","13,406.30","13,195.50","133.42M","0.52%"
"Jun 18, 2007","13,295.80","13,162.00","13,305.60","13,156.20","118.87M","1.54%"
"Jun 15, 2007","13,094.60","13,121.30","13,193.00","13,085.10","170.28M","0.44%"
"Jun 14, 2007","13,037.10","12,910.40","13,079.50","12,906.50","130.37M","2.60%"
"Jun 13, 2007","12,707.00","12,778.90","12,789.00","12,698.70","122.78M","-1.30%"
"Jun 12, 2007","12,874.80","12,899.90","12,984.30","12,858.00","116.67M","0.68%"
"Jun 08, 2007","12,788.20","12,913.90","12,913.90","12,673.70","175.07M","-1.08%"
"Jun 07, 2007","12,927.80","12,887.10","12,948.10","12,785.30","153.15M","-0.62%"
"Jun 06, 2007","13,008.00","13,001.00","13,092.20","12,946.90","112.78M","-0.08%"
"Jun 05, 2007","13,017.80","13,003.40","13,084.00","12,966.00","129.41M","0.18%"
"Jun 04, 2007","12,993.90","12,898.40","13,058.60","12,898.40","123.79M","1.29%"
"Jun 01, 2007","12,828.30","12,739.60","12,865.00","12,731.40","109.53M","1.08%"
