"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2013","1,597.37","1,568.20","1,601.10","1,568.20","44.06M","0.86%"
"Jan 28, 2013","1,583.70","1,568.20","1,586.00","1,568.20","-","0.99%"
"Jan 25, 2013","1,568.19","1,560.40","1,574.50","1,560.40","47.59M","0.50%"
"Jan 24, 2013","1,560.40","1,543.00","1,560.50","1,543.00","25.20M","1.13%"
"Jan 23, 2013","1,542.98","1,539.70","1,549.70","1,539.60","26.69M","0.21%"
"Jan 22, 2013","1,539.68","1,536.70","1,543.10","1,529.80","20.52M","0.20%"
"Jan 21, 2013","1,536.67","1,532.80","1,538.20","1,527.80","27.37M","0.25%"
"Jan 20, 2013","1,532.90","1,532.80","1,536.20","1,529.60","-","0.01%"
"Jan 18, 2013","1,532.78","1,532.80","1,546.00","1,532.80","32.13M","0.00%"
"Jan 17, 2013","1,532.76","1,532.00","1,536.50","1,522.50","38.00M","0.05%"
"Jan 16, 2013","1,531.97","1,515.30","1,532.00","1,515.20","31.62M","1.10%"
"Jan 15, 2013","1,515.32","1,535.80","1,539.30","1,515.30","42.57M","-1.34%"
"Jan 14, 2013","1,535.83","1,532.50","1,545.80","1,532.50","18.49M","-0.42%"
"Jan 13, 2013","1,542.30","1,532.50","1,544.20","1,532.50","-","0.64%"
"Jan 11, 2013","1,532.53","1,531.20","1,544.60","1,531.20","18.88M","0.09%"
"Jan 10, 2013","1,531.17","1,532.50","1,542.30","1,531.20","20.69M","-0.08%"
"Jan 09, 2013","1,532.45","1,524.90","1,539.10","1,524.90","24.09M","0.49%"
"Jan 08, 2013","1,524.91","1,521.50","1,541.50","1,521.50","37.36M","0.22%"
"Jan 07, 2013","1,521.52","1,531.30","1,544.80","1,521.40","32.96M","-0.85%"
"Jan 06, 2013","1,534.60","1,531.30","1,544.80","1,531.30","-","0.22%"
"Jan 04, 2013","1,531.28","1,532.30","1,538.10","1,522.50","27.30M","-0.07%"
"Jan 03, 2013","1,532.30","1,520.00","1,539.00","1,516.40","30.40M","0.81%"
"Jan 02, 2013","1,519.96","1,496.00","1,520.20","1,496.00","22.90M","0.81%"
"Jan 01, 2013","1,507.80","1,496.00","1,509.40","1,496.00","-","0.79%"
"Dec 31, 2012","1,496.04","1,503.00","1,503.00","1,495.60","9.26M","-0.19%"
"Dec 30, 2012","1,498.90","1,503.00","1,503.00","1,495.80","-","-0.28%"
"Dec 28, 2012","1,503.04","1,505.50","1,512.80","1,499.30","15.72M","-0.16%"
"Dec 27, 2012","1,505.48","1,494.70","1,505.60","1,494.70","14.37M","0.59%"
"Dec 26, 2012","1,496.70","1,494.70","1,498.30","1,494.70","-","0.13%"
"Dec 24, 2012","1,494.72","1,485.40","1,498.50","1,481.50","11.70M","0.21%"
"Dec 23, 2012","1,491.60","1,485.40","1,491.70","1,481.50","-","0.42%"
"Dec 21, 2012","1,485.36","1,488.80","1,498.80","1,481.80","78.22M","-0.23%"
"Dec 20, 2012","1,488.79","1,485.60","1,495.80","1,482.50","54.73M","0.21%"
"Dec 19, 2012","1,485.62","1,472.50","1,487.20","1,465.90","40.57M","0.89%"
"Dec 18, 2012","1,472.55","1,468.30","1,479.00","1,468.20","33.96M","0.29%"
"Dec 17, 2012","1,468.28","1,455.20","1,471.70","1,445.10","37.20M","1.48%"
"Dec 16, 2012","1,446.80","1,455.20","1,455.30","1,445.10","-","-0.58%"
"Dec 14, 2012","1,455.22","1,458.00","1,465.10","1,455.20","34.64M","-0.19%"
