"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2007","7,071.50","7,066.70","7,118.70","7,065.40","193.23M","0.24%"
"Jul 12, 2007","7,054.70","7,085.70","7,099.00","7,026.30","271.60M","-0.40%"
"Jul 11, 2007","7,082.80","7,104.60","7,113.00","7,060.80","268.16M","-0.39%"
"Jul 10, 2007","7,110.40","7,146.70","7,147.40","7,103.30","247.53M","-0.44%"
"Jul 09, 2007","7,141.50","7,125.80","7,149.80","7,125.80","159.08M","0.23%"
"Jul 06, 2007","7,125.30","7,141.70","7,142.50","7,084.10","238.39M","-0.30%"
"Jul 05, 2007","7,146.60","7,069.40","7,146.60","7,069.40","228.20M","1.12%"
"Jul 04, 2007","7,067.30","7,081.90","7,103.40","7,062.70","266.47M","-0.16%"
"Jul 03, 2007","7,078.40","7,049.10","7,095.20","7,047.80","338.93M","0.57%"
"Jul 02, 2007","7,038.10","7,073.80","7,078.90","7,020.60","436.17M","-0.46%"
"Jun 29, 2007","7,070.60","7,073.40","7,088.20","7,031.20","445.99M","-0.01%"
"Jun 28, 2007","7,071.20","7,007.70","7,081.50","7,007.70","480.85M","1.12%"
"Jun 27, 2007","6,993.10","7,122.20","7,124.90","6,993.10","314.38M","-1.89%"
"Jun 26, 2007","7,127.50","7,165.40","7,180.50","7,118.80","225.54M","-0.53%"
"Jun 25, 2007","7,165.60","7,232.10","7,232.10","7,139.70","254.62M","-0.97%"
"Jun 22, 2007","7,235.50","7,248.40","7,250.80","7,184.30","249.82M","-0.21%"
"Jun 21, 2007","7,250.60","7,263.10","7,264.10","7,226.50","474.15M","-0.23%"
"Jun 20, 2007","7,267.60","7,208.60","7,275.40","7,202.30","278.78M","0.79%"
"Jun 19, 2007","7,210.30","7,162.50","7,218.70","7,148.50","415.54M","0.61%"
"Jun 18, 2007","7,166.80","7,140.50","7,184.70","7,140.40","269.33M","0.44%"
"Jun 15, 2007","7,135.20","7,107.50","7,135.50","7,092.70","247.09M","0.42%"
"Jun 14, 2007","7,105.60","7,086.60","7,127.40","7,076.10","235.47M","0.53%"
"Jun 13, 2007","7,068.00","7,114.10","7,116.40","7,046.60","203.92M","-0.79%"
"Jun 12, 2007","7,124.00","7,146.00","7,206.50","7,113.10","240.92M","-0.18%"
