"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 04, 2013","9,777.29","9,823.50","9,823.50","9,736.60","21.43M","-0.47%"
"Dec 03, 2013","9,823.49","9,878.10","9,904.80","9,807.80","31.04M","-0.55%"
"Dec 02, 2013","9,878.05","9,881.30","9,924.00","9,839.50","37.81M","-0.05%"
"Dec 01, 2013","9,883.40","9,881.30","9,924.00","9,875.40","9.24M","0.02%"
"Nov 29, 2013","9,881.30","9,968.50","9,987.90","9,852.80","63.83M","-0.87%"
"Nov 28, 2013","9,968.52","10,045.80","10,069.60","9,966.50","26.05M","-0.77%"
"Nov 27, 2013","10,045.81","10,102.10","10,111.10","10,045.80","21.06M","-0.56%"
"Nov 26, 2013","10,102.14","10,112.00","10,179.10","10,097.00","24.68M","-0.10%"
"Nov 25, 2013","10,111.96","10,098.80","10,204.20","10,098.60","31.03M","-0.82%"
"Nov 24, 2013","10,195.50","10,098.80","10,204.20","10,098.60","6.76M","0.96%"
"Nov 22, 2013","10,098.78","10,041.30","10,148.20","10,041.30","33.23M","0.57%"
"Nov 21, 2013","10,041.30","10,064.60","10,066.30","9,994.20","19.83M","-0.23%"
"Nov 20, 2013","10,064.62","10,078.80","10,078.80","9,997.40","21.89M","-0.14%"
"Nov 19, 2013","10,078.77","10,141.90","10,145.50","10,062.30","15.43M","-0.62%"
"Nov 18, 2013","10,141.94","10,149.90","10,150.90","10,069.00","19.54M","0.39%"
"Nov 17, 2013","10,102.30","10,149.90","10,150.90","10,074.80","2.78M","-0.47%"
"Nov 15, 2013","10,149.95","10,108.10","10,166.00","10,049.50","21.62M","0.41%"
"Nov 14, 2013","10,108.06","10,102.50","10,152.60","10,090.90","16.14M","0.06%"
"Nov 13, 2013","10,102.45","10,204.70","10,223.60","10,084.50","16.05M","-1.00%"
"Nov 12, 2013","10,204.69","10,174.60","10,246.60","10,171.30","18.17M","0.30%"
"Nov 11, 2013","10,174.58","10,160.20","10,262.50","10,153.60","16.21M","-0.28%"
"Nov 10, 2013","10,202.80","10,160.20","10,262.50","10,160.20","2.98M","0.42%"
"Nov 08, 2013","10,160.18","10,137.00","10,186.50","10,125.70","12.85M","0.23%"
"Nov 07, 2013","10,137.03","10,105.30","10,179.60","10,101.00","20.49M","0.31%"
"Nov 06, 2013","10,105.35","10,104.40","10,126.00","10,048.90","18.71M","0.01%"
"Nov 05, 2013","10,104.35","10,070.80","10,147.50","10,070.80","10.62M","0.33%"
"Nov 04, 2013","10,070.77","10,163.30","10,192.90","10,064.70","15.90M","-0.47%"
"Nov 03, 2013","10,118.40","10,163.30","10,192.90","10,102.50","2.61M","-0.44%"
"Nov 01, 2013","10,163.31","10,171.50","10,203.30","10,140.70","10.21M","-0.08%"
"Oct 31, 2013","10,171.49","10,075.70","10,208.70","10,074.80","80.73M","0.95%"
"Oct 30, 2013","10,075.75","10,009.40","10,088.00","9,986.40","15.41M","0.66%"
"Oct 29, 2013","10,009.44","10,060.00","10,060.00","9,976.20","18.35M","-0.50%"
"Oct 28, 2013","10,060.03","9,993.30","10,117.00","9,993.30","29.21M","-0.45%"
"Oct 27, 2013","10,105.90","9,993.30","10,105.90","9,993.30","2.81M","1.13%"
"Oct 25, 2013","9,993.34","9,992.40","10,014.30","9,943.70","56.15M","0.01%"
"Oct 24, 2013","9,992.45","10,016.80","10,027.50","9,932.10","15.90M","-0.24%"
"Oct 23, 2013","10,016.78","10,062.70","10,072.20","10,011.70","16.69M","-0.46%"
"Oct 22, 2013","10,062.71","10,039.60","10,074.30","9,992.40","13.84M","0.23%"
"Oct 21, 2013","10,039.64","9,928.70","10,069.10","9,928.00","13.13M","-0.21%"
"Oct 20, 2013","10,061.10","9,928.70","10,069.10","9,928.00","3.09M","1.33%"
"Oct 18, 2013","9,928.66","9,827.30","9,928.70","9,827.30","14.20M","1.03%"
"Oct 17, 2013","9,827.31","9,875.50","9,879.50","9,814.20","18.75M","-0.49%"
"Oct 16, 2013","9,875.51","9,883.60","9,914.40","9,806.10","22.07M","-0.08%"
"Oct 15, 2013","9,883.58","9,849.90","9,969.20","9,849.90","10.74M","0.34%"
"Oct 14, 2013","9,849.89","9,908.00","9,909.40","9,811.40","12.30M","0.02%"
"Oct 13, 2013","9,848.30","9,908.00","9,909.40","9,842.00","1.71M","-0.60%"
"Oct 11, 2013","9,907.99","9,829.40","9,928.50","9,829.40","16.70M","0.80%"
"Oct 10, 2013","9,829.43","9,828.00","9,829.40","9,785.40","15.88M","0.01%"
"Oct 09, 2013","9,828.00","9,813.40","9,851.40","9,772.70","18.35M","0.15%"
