"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2012","3,565.38","3,549.80","3,587.30","3,547.40","50.76M","0.78%"
"Feb 01, 2012","3,537.82","3,542.40","3,549.60","3,527.60","43.94M","-0.29%"
"Jan 31, 2012","3,548.28","3,550.40","3,560.40","3,540.00","48.34M","-0.16%"
"Jan 30, 2012","3,554.06","3,568.70","3,576.50","3,552.20","34.10M","-0.54%"
"Jan 27, 2012","3,573.40","3,545.80","3,583.50","3,534.90","32.68M","0.73%"
"Jan 26, 2012","3,547.50","3,545.80","3,560.00","3,534.90","-","0.10%"
"Jan 25, 2012","3,544.05","3,513.00","3,553.20","3,513.00","42.92M","1.10%"
"Jan 24, 2012","3,505.50","3,510.50","3,521.10","3,503.50","37.17M","-0.06%"
"Jan 23, 2012","3,507.57","3,501.30","3,521.70","3,500.90","36.55M","0.16%"
"Jan 20, 2012","3,502.08","3,480.70","3,511.80","3,477.50","39.10M","0.82%"
"Jan 19, 2012","3,473.59","3,496.00","3,507.70","3,472.50","45.10M","-0.52%"
"Jan 18, 2012","3,491.77","3,471.80","3,495.20","3,455.00","43.04M","0.51%"
"Jan 17, 2012","3,474.19","3,409.70","3,474.70","3,409.70","44.85M","1.90%"
"Jan 16, 2012","3,409.30","3,439.30","3,441.80","3,403.80","32.18M","-0.93%"
"Jan 13, 2012","3,441.39","3,424.20","3,448.10","3,424.20","35.61M","0.62%"
"Jan 12, 2012","3,420.28","3,411.90","3,424.20","3,405.20","41.45M","0.01%"
"Jan 11, 2012","3,419.96","3,394.20","3,433.40","3,390.30","41.30M","0.68%"
"Jan 10, 2012","3,396.90","3,386.40","3,406.80","3,383.60","42.28M","0.53%"
"Jan 09, 2012","3,378.96","3,395.70","3,405.30","3,355.20","36.88M","-0.29%"
"Jan 06, 2012","3,388.87","3,406.80","3,423.80","3,379.60","31.76M","-0.65%"
"Jan 05, 2012","3,411.12","3,444.20","3,444.20","3,398.40","26.47M","-1.26%"
"Jan 04, 2012","3,454.70","3,392.00","3,472.00","3,388.60","34.94M","2.12%"
"Jan 03, 2012","3,382.86","3,349.30","3,383.40","3,344.80","15.68M","0.79%"
"Jan 02, 2012","3,356.50","3,349.30","3,372.80","3,344.80","-","0.56%"
"Dec 30, 2011","3,337.76","3,340.00","3,358.30","3,337.80","15.64M","0.04%"
"Dec 29, 2011","3,336.28","3,358.30","3,358.50","3,314.90","19.37M","-0.73%"
"Dec 28, 2011","3,360.69","3,406.80","3,410.80","3,355.10","15.53M","-0.81%"
"Dec 27, 2011","3,388.20","3,406.80","3,410.80","3,388.20","-","-0.53%"
"Dec 23, 2011","3,406.22","3,365.10","3,406.20","3,363.90","22.17M","1.57%"
"Dec 22, 2011","3,353.71","3,410.20","3,411.10","3,334.80","30.32M","-1.78%"
"Dec 21, 2011","3,414.39","3,353.50","3,414.40","3,353.30","46.39M","2.29%"
"Dec 20, 2011","3,338.00","3,342.50","3,355.90","3,329.80","38.29M","-0.05%"
"Dec 19, 2011","3,339.55","3,429.60","3,429.60","3,338.00","45.71M","-2.93%"
"Dec 16, 2011","3,440.38","3,424.90","3,448.80","3,424.90","57.55M","0.71%"
"Dec 15, 2011","3,416.03","3,427.50","3,437.30","3,399.70","82.48M","-0.84%"
"Dec 14, 2011","3,444.86","3,451.90","3,452.60","3,431.60","38.37M","-0.30%"
"Dec 13, 2011","3,455.30","3,490.60","3,491.80","3,447.30","40.85M","-1.51%"
"Dec 12, 2011","3,508.24","3,468.30","3,519.30","3,467.30","37.78M","1.53%"
"Dec 09, 2011","3,455.45","3,495.40","3,495.40","3,438.30","40.33M","-1.47%"
"Dec 08, 2011","3,507.15","3,499.90","3,512.90","3,487.20","52.77M","0.21%"
"Dec 07, 2011","3,499.89","3,505.70","3,532.70","3,486.30","51.20M","0.02%"
"Dec 06, 2011","3,499.07","3,539.00","3,541.00","3,442.40","56.41M","-1.20%"
"Dec 05, 2011","3,541.56","3,514.60","3,555.10","3,513.60","78.72M","0.82%"
"Dec 02, 2011","3,512.78","3,457.10","3,512.80","3,456.20","52.94M","1.23%"
"Dec 01, 2011","3,469.99","3,423.50","3,479.10","3,423.50","87.34M","2.43%"
"Nov 30, 2011","3,387.54","3,375.00","3,397.30","3,363.40","102.73M","0.65%"
"Nov 29, 2011","3,365.76","3,319.30","3,365.80","3,312.30","79.46M","1.48%"
"Nov 28, 2011","3,316.68","3,271.80","3,329.60","3,271.30","72.72M","1.58%"
"Nov 25, 2011","3,265.06","3,314.70","3,314.70","3,258.90","80.34M","-1.54%"
"Nov 24, 2011","3,316.00","3,333.80","3,335.50","3,296.40","110.16M","-0.63%"
"Nov 23, 2011","3,337.02","3,365.70","3,374.10","3,333.30","121.22M","-0.82%"
"Nov 22, 2011","3,364.73","3,393.80","3,403.40","3,357.70","77.95M","-1.50%"
"Nov 21, 2011","3,415.91","3,406.90","3,424.40","3,390.60","56.45M","0.22%"
"Nov 18, 2011","3,408.50","3,440.90","3,441.20","3,390.30","65.75M","-1.07%"
